Rede,Nome Fantasia,Logradouro,Complemento,Bairro,Cep,Ddd,Telefone,Uf,Municipio,DtAbertura,DtFechamento,CodUnidade,Cnpj,Categoria,Classificação,Fonte,Cnes,Latitude,Longitude
Uptime,UNIDADE GRANJA VIANA CORPORATE,Rua Mesopotania 109  Edifício Centro Comercial Vianna Village,,Jardim Passargada I,06712100,11,47770040,SP,Cotia,,,,,Ensino,,,,,
Uptime,UNIDADE INDAIATUBA - CENTRO,R PEDRO GONCALVES 936  ,,CENTRO,13330210,19,30167790,SP,Indaiatuba,,,,,Ensino,,,,,
Uptime,UNIDADE CURITIBA - CABRAL,Rua Rocha Pombo 509  Uptime,,Juvevê,80030390,41,30140233,PR,Curitiba,,,,,Ensino,,,,,
Uptime,UNIDADE CURITIBA XAXIM,Francisco Derosso 872  ,,Xaxim,81710000,41,35388401,PR,Curitiba,,,,,Ensino,,,,,
Uptime,UNIDADE CURITIBA - CENTRO,Rua Vinte e Quatro de Maio 273  ,,Centro,80230080,41,30790677,PR,Curitiba,,,,,Ensino,,,,,
Uptime,UNIDADE AMERICANA,Rua Rio Branco 200  ,,Centro,13465030,19,34081899,SP,Americana,,,,,Ensino,,,,,
Uptime,UNIDADE CAMPINAS - CAMBUÍ,Avenida Benjamin Constant 1692  ,,Cambuí,13010142,19,32345050,SP,Campinas,,,,,Ensino,,,,,
Uptime,UNIDADE GRANJA VIANA,Rua Mesopotâmia 109  ,,Jardim Passárgada I,06712100,11,47770040,SP,Cotia,,,,,Ensino,,,,,
Uptime,UNIDADE CAÇAPAVA,RUA DOM PEDRO II 70  ,,VILA RESENDE,12282370,12,32216883,SP,CAÇAPAVA,,,,,Ensino,,,,,
Uptime,UNIDADE NITERÓI,Rua Gavião Peixoto 71  ,,Icaraí,24230090,21,36205708,RJ,Niterói,,,,,Ensino,,,,,
Uptime,UNIDADE SETE LAGOAS,Praça Dom Carlos Carmelo Mota 35  A,,Centro,35700074,31,37730303,MG,Sete Lagoas,,,,,Ensino,,,,,
